Username,Rating,Komentar
likaaudyluna,5,"Sukaa banget warna² nya soft ,bahan lembuuttt banget ,bakalan order nih karena pengiriman nya cepet banget sampe nyaa pokok nya recomend dech ,makasii yaa kaa"
n*****i,5,"Tampilan:bagus
Performa:bagus
Kualitas:bagus

Bagus banget sprei homemade polosnya kak
Kainnya sangat halus dan lembut
Jadi, nyaman banget di pakai alas tidur
Kwalitasnya juga tidak kalah saing"
b*****i,5,"Performa:baik
Kualitas:baik
Tampilan:sesuai dg gambar

Packing rapih 
Pengiriman cepat

Pertama order agak ragu, tp setelah barang datang Alhamdulillah cocok dgn hati...
Disini saya order 1 sets bedsheeet dn bedcover dr Toko ini (toko yg sama) !
1 pc sprei + 2 pcs sarung bantal + 2 pcs sarung guling lengkap dg tali (tp di foto saya, saya tidak memakai guling)  dg harga yg sesuai..
Bedcover sesuai dg harga juga dn cocok di ruang ber AC tp ukuran agak kurang sesuai dr keterangan nya tp gak apa2 soal nya udah males mau ngajuin pengembalian 😁

Masih Recommended banget

Buat sprei nya Next order lagi 👍

Terimakasih seller dan kurir shopee"
rendang_usmai.official,5,"Tekstur:sangat lembut dan halus
Warna:warna canti dan elegan
Kenyamanan:tidak panas

Pokok e mantul, udah punya 4 sprei dr toko ini, ga pernah kecewa. Bahan bagus harga murah"
f*****g,5,"Warna:cerah
Tekstur:halus
Kenyamanan:nyaman

Bahannya halusss walaupun belum di cuci tetap halus gak kasar samsekk. Warnanya bikin kamar jadi cerahhh banget pas masuk kamar jadi seger. Pengiriman cepat dan amanah🫶🏻"
dewaperdana7,5,"Kualitas:lumayan bagus
Tampilan:minimalis sekali
Performa:bagus dan lembut

Bagus bagus bagus bagus bagus"
vu6t1l16e4,5,"Tekstur:gk terlalu tebal tapi lembut bagus lumayan buat ganti2an kasur di kamar anak
Kenyamanan:adem ok banget
Warna:sesuai yaa karna anak laki2 jadi pesen yg abu

Thx seller semoga sllu amanah, next bakal order lg 🥰"
ummu_habibah110603,5,"Warna:sesuai ekspetasi
Tekstur:sangat lembut
Kenyamanan:nyaman

Maaf ya bru bisa kasih nilai. Tpi sumpah ini udh 2kali aku cuci ga luntur dn ga rusak gitu bahan nya💖"
v*****3,5,"Tekstur:lembut
Warna:abu muda
Kenyamanan:nyaman sekali

Wortit bangett untuk harga segitu dengan kualitas kain yg dipakai, suka sekali, awal nya niat beli 1 biat cek kualitas nya, ternyata se bagus itu, bakal di note ni toko nya biar langganan"
y*****r,5,"Warna:lembut & sesuai dengan di gambar
Tekstur:barang dengan tekstur yg halus
Kenyamanan:sangat nyaman di kenakan

Alhamdulillah mesan seprei polos 160x200 telan sampai d rumah ..sudah di pakai d taro d kasur sesuai pas & cocok ..nyaman di tidurin ..terima kasih seller & Shopee"
